type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount,wastage_percentage,wastage_category
baked goods,280,social gathering,350,room temperature,regular,winter,finger food,rural,low,20,5.71,low
vegetables,350,wedding,450,refrigerated,regular,all seasons,sit-down dinner,urban,moderate,25,5.56,low
fruits,400,social gathering,500,room temperature,regular,winter,sit-down dinner,urban,high,50,10.0,medium
meat,280,social gathering,480,room temperature,regular,winter,sit-down dinner,suburban,low,15,3.12,low
vegetables,280,social gathering,350,refrigerated,regular,winter,finger food,rural,moderate,20,5.71,low
dairy products,400,wedding,500,refrigerated,regular,all seasons,sit-down dinner,urban,high,40,8.0,low
baked goods,310,social gathering,350,room temperature,regular,summer,finger food,rural,high,35,10.0,medium
baked goods,320,wedding,400,room temperature,regular,all seasons,finger food,rural,moderate,25,6.25,low
meat,220,social gathering,300,room temperature,regular,summer,finger food,suburban,moderate,15,5.0,low
dairy products,400,wedding,350,room temperature,regular,winter,sit-down dinner,suburban,high,35,10.0,medium
dairy products,310,corporate,350,room temperature,regular,all seasons,finger food,urban,high,35,10.0,medium
fruits,250,social gathering,350,room temperature,regular,summer,finger food,suburban,moderate,20,5.71,low
fruits,220,social gathering,300,room temperature,regular,winter,finger food,suburban,moderate,15,5.0,low
dairy products,300,birthday,450,room temperature,regular,all seasons,finger food,suburban,high,35,7.78,low
dairy products,270,corporate,400,room temperature,regular,winter,sit-down dinner,suburban,high,40,10.0,medium
baked goods,400,social gathering,500,room temperature,regular,summer,sit-down dinner,rural,high,40,8.0,low
baked goods,380,social gathering,500,room temperature,regular,summer,sit-down dinner,urban,high,35,7.0,low
baked goods,300,social gathering,400,room temperature,regular,all seasons,buffet,urban,moderate,30,7.5,low
dairy products,434,social gathering,495,room temperature,regular,winter,sit-down dinner,rural,low,36,7.27,low
baked goods,350,birthday,450,room temperature,occasional,winter,sit-down dinner,suburban,moderate,25,5.56,low
dairy products,434,corporate,495,room temperature,regular,all seasons,sit-down dinner,suburban,low,36,7.27,low
dairy products,350,birthday,450,room temperature,regular,all seasons,sit-down dinner,suburban,high,35,7.78,low
baked goods,400,social gathering,500,room temperature,regular,summer,sit-down dinner,suburban,high,50,10.0,medium
dairy products,320,social gathering,400,room temperature,regular,all seasons,finger food,suburban,low,15,3.75,low
baked goods,250,social gathering,350,room temperature,regular,winter,sit-down dinner,suburban,moderate,20,5.71,low
baked goods,320,social gathering,400,room temperature,regular,all seasons,finger food,suburban,moderate,25,6.25,low
dairy products,280,social gathering,350,room temperature,regular,all seasons,finger food,suburban,low,20,5.71,low
baked goods,438,social gathering,493,room temperature,regular,all seasons,sit-down dinner,urban,moderate,35,7.1,low
dairy products,300,social gathering,400,room temperature,regular,all seasons,sit-down dinner,suburban,high,40,10.0,medium
meat,280,birthday,350,refrigerated,regular,all seasons,buffet,urban,low,20,5.71,low
fruits,400,corporate,500,room temperature,regular,summer,buffet,rural,high,30,6.0,low
meat,292,birthday,470,refrigerated,regular,winter,sit-down dinner,urban,high,50,10.64,medium
meat,220,corporate,300,refrigerated,regular,winter,sit-down dinner,urban,low,15,5.0,low
fruits,280,corporate,480,refrigerated,regular,winter,sit-down dinner,urban,low,15,3.12,low
baked goods,350,corporate,450,room temperature,regular,winter,buffet,urban,high,40,8.89,low
fruits,439,social gathering,459,refrigerated,regular,summer,buffet,suburban,low,26,5.66,low
fruits,400,corporate,500,refrigerated,regular,summer,sit-down dinner,rural,high,50,10.0,medium
fruits,400,corporate,500,refrigerated,regular,all seasons,finger food,urban,high,40,8.0,low
fruits,367,social gathering,420,room temperature,regular,summer,buffet,urban,low,40,9.52,low
fruits,380,wedding,400,room temperature,regular,winter,finger food,urban,moderate,25,6.25,low
vegetables,250,wedding,350,refrigerated,regular,summer,sit-down dinner,rural,high,40,11.43,medium
vegetables,380,wedding,400,refrigerated,regular,winter,finger food,urban,moderate,25,6.25,low
baked goods,250,wedding,350,room temperature,regular,winter,finger food,rural,high,35,10.0,medium
meat,400,corporate,500,refrigerated,regular,all seasons,sit-down dinner,rural,high,45,9.0,low
meat,380,corporate,500,refrigerated,regular,all seasons,sit-down dinner,urban,high,35,7.0,low
meat,400,corporate,500,refrigerated,regular,all seasons,sit-down dinner,urban,high,45,9.0,low
fruits,350,corporate,450,room temperature,regular,summer,sit-down dinner,urban,high,35,7.78,low
vegetables,250,birthday,350,refrigerated,regular,summer,finger food,suburban,moderate,20,5.71,low
vegetables,400,wedding,400,room temperature,regular,winter,sit-down dinner,rural,high,40,10.0,medium
fruits,400,birthday,350,room temperature,regular,summer,sit-down dinner,suburban,high,35,10.0,medium
dairy products,320,birthday,400,room temperature,regular,all seasons,buffet,rural,high,30,7.5,low
dairy products,300,corporate,400,room temperature,regular,summer,finger food,urban,low,20,5.0,low
meat,280,corporate,350,refrigerated,occasional,all seasons,finger food,suburban,moderate,20,5.71,low
fruits,220,corporate,300,room temperature,regular,all seasons,finger food,urban,moderate,15,5.0,low
meat,320,social gathering,400,room temperature,regular,winter,finger food,urban,moderate,25,6.25,low
baked goods,350,corporate,450,room temperature,regular,summer,finger food,urban,moderate,20,4.44,low
vegetables,300,birthday,400,room temperature,regular,summer,finger food,suburban,moderate,25,6.25,low
vegetables,320,birthday,400,room temperature,regular,summer,finger food,suburban,moderate,25,6.25,low
fruits,220,corporate,300,refrigerated,occasional,all seasons,finger food,suburban,moderate,15,5.0,low
fruits,220,corporate,300,room temperature,regular,all seasons,sit-down dinner,suburban,low,15,5.0,low
dairy products,220,birthday,300,room temperature,regular,all seasons,finger food,rural,low,15,5.0,low
baked goods,400,birthday,500,room temperature,regular,summer,sit-down dinner,suburban,high,45,9.0,low
dairy products,400,corporate,500,room temperature,regular,summer,sit-down dinner,rural,high,40,8.0,low
dairy products,400,corporate,500,room temperature,regular,summer,sit-down dinner,urban,high,50,10.0,medium
baked goods,400,corporate,500,room temperature,regular,all seasons,sit-down dinner,urban,high,40,8.0,low
dairy products,434,corporate,495,room temperature,regular,summer,sit-down dinner,suburban,low,36,7.27,low
baked goods,350,wedding,450,room temperature,regular,winter,sit-down dinner,suburban,moderate,25,5.56,low
baked goods,220,birthday,300,room temperature,regular,all seasons,sit-down dinner,suburban,low,15,5.0,low
baked goods,400,social gathering,500,room temperature,regular,winter,sit-down dinner,urban,high,40,8.0,low
dairy products,250,corporate,350,room temperature,regular,all seasons,finger food,suburban,high,30,8.57,low
baked goods,453,social gathering,484,room temperature,regular,winter,sit-down dinner,urban,high,54,11.16,medium
dairy products,260,social gathering,400,room temperature,regular,winter,sit-down dinner,urban,low,20,5.0,low
vegetables,350,social gathering,450,room temperature,regular,summer,finger food,suburban,moderate,20,4.44,low
fruits,350,social gathering,450,room temperature,regular,winter,sit-down dinner,suburban,moderate,25,5.56,low
dairy products,250,birthday,350,room temperature,regular,winter,sit-down dinner,suburban,moderate,15,4.29,low
baked goods,400,social gathering,500,room temperature,regular,winter,sit-down dinner,suburban,high,45,9.0,low
dairy products,320,social gathering,400,room temperature,regular,winter,finger food,rural,moderate,25,6.25,low
baked goods,350,social gathering,400,room temperature,regular,winter,finger food,suburban,moderate,25,6.25,low
baked goods,350,social gathering,450,room temperature,regular,summer,finger food,suburban,moderate,20,4.44,low
baked goods,400,social gathering,500,room temperature,regular,all seasons,sit-down dinner,rural,high,40,8.0,low
dairy products,300,corporate,400,room temperature,regular,all seasons,sit-down dinner,urban,moderate,25,6.25,low
baked goods,250,social gathering,350,room temperature,regular,summer,sit-down dinner,suburban,moderate,20,5.71,low
fruits,320,social gathering,400,room temperature,occasional,all seasons,finger food,suburban,moderate,25,6.25,low
dairy products,250,social gathering,350,room temperature,regular,all seasons,sit-down dinner,rural,moderate,20,5.71,low
meat,400,wedding,500,refrigerated,occasional,summer,buffet,rural,high,30,6.0,low
meat,320,corporate,400,room temperature,regular,winter,buffet,urban,high,45,11.25,medium
meat,400,wedding,500,refrigerated,occasional,winter,sit-down dinner,rural,low,25,5.0,low
fruits,400,wedding,500,refrigerated,regular,winter,sit-down dinner,urban,high,50,10.0,medium
fruits,380,wedding,500,refrigerated,regular,summer,sit-down dinner,urban,high,35,7.0,low
meat,300,wedding,400,refrigerated,regular,summer,sit-down dinner,suburban,high,40,10.0,medium
meat,400,wedding,500,room temperature,regular,winter,sit-down dinner,urban,low,25,5.0,low
fruits,320,corporate,400,refrigerated,regular,winter,sit-down dinner,urban,high,35,8.75,low
meat,380,birthday,480,refrigerated,regular,all seasons,buffet,suburban,moderate,30,6.25,low
fruits,380,corporate,480,refrigerated,occasional,winter,buffet,suburban,moderate,30,6.25,low
meat,300,wedding,400,refrigerated,regular,all seasons,finger food,rural,moderate,15,3.75,low
vegetables,380,birthday,480,refrigerated,regular,summer,buffet,suburban,moderate,30,6.25,low
meat,280,corporate,350,refrigerated,regular,summer,finger food,suburban,moderate,20,5.71,low
baked goods,300,wedding,400,room temperature,regular,summer,finger food,rural,low,15,3.75,low
meat,400,corporate,350,room temperature,regular,summer,sit-down dinner,urban,high,35,10.0,medium
fruits,400,birthday,450,room temperature,regular,all seasons,buffet,urban,moderate,30,6.67,low
meat,240,wedding,450,refrigerated,regular,all seasons,sit-down dinner,suburban,low,20,4.44,low
meat,250,wedding,350,refrigerated,occasional,winter,sit-down dinner,rural,moderate,20,5.71,low
meat,320,corporate,400,refrigerated,occasional,winter,finger food,suburban,moderate,25,6.25,low
baked goods,450,birthday,500,room temperature,regular,summer,finger food,rural,high,30,6.0,low
baked goods,439,corporate,459,room temperature,occasional,winter,buffet,suburban,low,36,7.84,low
baked goods,280,wedding,350,room temperature,occasional,all seasons,buffet,urban,low,20,5.71,low
fruits,310,corporate,350,room temperature,regular,all seasons,finger food,rural,high,35,10.0,medium
vegetables,208,wedding,282,refrigerated,regular,winter,sit-down dinner,urban,moderate,22,7.8,low
fruits,208,wedding,282,refrigerated,regular,all seasons,sit-down dinner,urban,moderate,22,7.8,low
vegetables,250,birthday,350,room temperature,regular,summer,finger food,rural,moderate,20,5.71,low
baked goods,300,wedding,400,room temperature,regular,summer,finger food,urban,moderate,15,3.75,low
fruits,250,corporate,350,refrigerated,regular,winter,sit-down dinner,suburban,moderate,20,5.71,low
baked goods,290,birthday,374,room temperature,regular,all seasons,finger food,rural,low,27,7.22,low
fruits,342,corporate,405,refrigerated,occasional,all seasons,finger food,urban,moderate,29,7.16,low
dairy products,280,wedding,480,room temperature,regular,winter,sit-down dinner,urban,low,15,3.12,low
vegetables,434,wedding,495,refrigerated,occasional,all seasons,sit-down dinner,urban,low,36,7.27,low
meat,230,social gathering,500,refrigerated,regular,all seasons,sit-down dinner,urban,low,20,4.0,low
baked goods,491,birthday,497,room temperature,regular,all seasons,finger food,rural,high,32,6.44,low
dairy products,250,social gathering,500,room temperature,regular,winter,buffet,urban,high,40,8.0,low
fruits,320,social gathering,480,room temperature,regular,all seasons,buffet,suburban,high,40,8.33,low
fruits,400,corporate,500,room temperature,occasional,summer,sit-down dinner,suburban,high,50,10.0,medium
fruits,230,corporate,500,room temperature,regular,all seasons,sit-down dinner,suburban,low,20,4.0,low
fruits,208,wedding,282,room temperature,regular,all seasons,sit-down dinner,urban,moderate,22,7.8,low
dairy products,220,birthday,300,room temperature,regular,winter,finger food,rural,moderate,15,5.0,low
fruits,300,social gathering,400,room temperature,regular,all seasons,buffet,urban,moderate,30,7.5,low
baked goods,453,birthday,484,room temperature,regular,summer,sit-down dinner,suburban,high,54,11.16,medium
baked goods,300,social gathering,400,room temperature,regular,all seasons,buffet,rural,high,40,10.0,medium
dairy products,220,corporate,300,room temperature,regular,all seasons,finger food,urban,low,15,5.0,low
fruits,450,social gathering,500,room temperature,regular,all seasons,finger food,urban,high,30,6.0,low
meat,400,social gathering,500,room temperature,regular,winter,sit-down dinner,suburban,high,50,10.0,medium
dairy products,220,corporate,300,room temperature,regular,all seasons,finger food,rural,low,15,5.0,low
baked goods,208,corporate,282,room temperature,regular,winter,sit-down dinner,urban,moderate,22,7.8,low
meat,280,social gathering,350,refrigerated,occasional,all seasons,finger food,rural,moderate,20,5.71,low
dairy products,350,wedding,450,room temperature,regular,all seasons,sit-down dinner,urban,high,35,7.78,low
fruits,280,social gathering,350,room temperature,regular,all seasons,finger food,rural,moderate,20,5.71,low
baked goods,350,social gathering,450,room temperature,regular,summer,sit-down dinner,suburban,high,45,10.0,medium
baked goods,300,social gathering,400,room temperature,regular,summer,sit-down dinner,suburban,high,40,10.0,medium
baked goods,230,social gathering,500,room temperature,regular,summer,sit-down dinner,urban,moderate,30,6.0,low
dairy products,400,corporate,500,room temperature,regular,all seasons,sit-down dinner,suburban,high,50,10.0,medium
dairy products,300,social gathering,400,room temperature,regular,winter,finger food,suburban,moderate,15,3.75,low
baked goods,350,social gathering,450,room temperature,regular,winter,sit-down dinner,suburban,moderate,25,5.56,low
dairy products,261,birthday,350,room temperature,regular,all seasons,sit-down dinner,suburban,moderate,23,6.57,low
dairy products,438,social gathering,493,room temperature,regular,all seasons,sit-down dinner,suburban,moderate,35,7.1,low
meat,491,birthday,497,refrigerated,regular,summer,finger food,urban,high,32,6.44,low
meat,300,birthday,400,refrigerated,regular,winter,finger food,suburban,low,15,3.75,low
meat,300,wedding,400,refrigerated,regular,winter,sit-down dinner,urban,high,40,10.0,medium
meat,350,wedding,450,refrigerated,regular,summer,sit-down dinner,urban,high,35,7.78,low
meat,292,corporate,470,refrigerated,regular,summer,sit-down dinner,urban,high,50,10.64,medium
meat,300,wedding,400,refrigerated,regular,winter,finger food,suburban,moderate,25,6.25,low
baked goods,430,corporate,477,room temperature,regular,summer,buffet,urban,low,29,6.08,low
fruits,220,corporate,300,room temperature,regular,summer,finger food,urban,low,15,5.0,low
meat,320,wedding,400,refrigerated,regular,winter,sit-down dinner,suburban,high,35,8.75,low
fruits,300,corporate,400,refrigerated,regular,winter,finger food,rural,moderate,15,3.75,low
meat,350,wedding,450,refrigerated,regular,all seasons,sit-down dinner,urban,high,35,7.78,low
meat,320,corporate,400,refrigerated,regular,winter,finger food,suburban,moderate,25,6.25,low
fruits,400,birthday,500,refrigerated,regular,summer,sit-down dinner,suburban,high,50,10.0,medium
baked goods,250,social gathering,350,room temperature,regular,all seasons,sit-down dinner,urban,moderate,25,7.14,low
dairy products,261,social gathering,350,room temperature,regular,all seasons,sit-down dinner,suburban,moderate,23,6.57,low
fruits,220,corporate,300,refrigerated,regular,winter,finger food,rural,low,15,5.0,low
meat,400,wedding,500,refrigerated,regular,winter,sit-down dinner,rural,high,45,9.0,low
meat,280,corporate,350,room temperature,regular,winter,finger food,urban,low,15,4.29,low
vegetables,320,wedding,400,room temperature,regular,summer,buffet,rural,high,35,8.75,low
meat,250,corporate,350,refrigerated,regular,winter,finger food,rural,moderate,20,5.71,low
meat,300,birthday,400,refrigerated,regular,winter,sit-down dinner,suburban,low,15,3.75,low
meat,300,corporate,400,refrigerated,regular,summer,finger food,suburban,moderate,15,3.75,low
meat,350,corporate,450,refrigerated,regular,winter,finger food,suburban,moderate,20,4.44,low
meat,220,corporate,450,refrigerated,occasional,winter,finger food,urban,moderate,30,6.67,low
vegetables,280,corporate,350,refrigerated,occasional,summer,finger food,rural,low,20,5.71,low
meat,400,corporate,500,room temperature,regular,winter,sit-down dinner,urban,high,40,8.0,low
vegetables,320,birthday,400,refrigerated,regular,summer,sit-down dinner,rural,high,40,10.0,medium
dairy products,250,corporate,500,room temperature,regular,winter,buffet,urban,high,40,8.0,low
baked goods,310,birthday,450,room temperature,regular,all seasons,buffet,urban,low,25,5.56,low
vegetables,220,corporate,300,refrigerated,regular,summer,finger food,rural,moderate,20,6.67,low
baked goods,220,corporate,300,room temperature,regular,winter,finger food,urban,low,15,5.0,low
fruits,350,wedding,450,room temperature,regular,summer,sit-down dinner,suburban,high,40,8.89,low
meat,320,corporate,400,room temperature,regular,winter,finger food,suburban,moderate,25,6.25,low
fruits,300,wedding,400,room temperature,regular,summer,sit-down dinner,suburban,high,35,8.75,low
vegetables,320,wedding,400,refrigerated,regular,summer,sit-down dinner,suburban,high,35,8.75,low
fruits,320,social gathering,400,refrigerated,regular,all seasons,buffet,rural,high,30,7.5,low
dairy products,310,corporate,450,refrigerated,regular,all seasons,buffet,urban,low,25,5.56,low
meat,300,corporate,400,refrigerated,regular,all seasons,sit-down dinner,urban,high,35,8.75,low
vegetables,250,corporate,350,refrigerated,regular,winter,sit-down dinner,rural,high,40,11.43,medium
fruits,220,wedding,300,refrigerated,occasional,summer,finger food,suburban,moderate,15,5.0,low
meat,350,wedding,450,refrigerated,regular,all seasons,sit-down dinner,urban,moderate,25,5.56,low
baked goods,400,corporate,500,room temperature,regular,summer,finger food,urban,high,40,8.0,low
dairy products,250,wedding,350,room temperature,regular,all seasons,buffet,urban,low,10,2.86,low
vegetables,302,corporate,371,room temperature,regular,all seasons,buffet,suburban,low,27,7.28,low
baked goods,350,wedding,450,room temperature,regular,winter,sit-down dinner,urban,low,25,5.56,low
baked goods,220,birthday,300,room temperature,regular,summer,finger food,suburban,low,15,5.0,low
fruits,250,birthday,350,room temperature,regular,winter,finger food,suburban,moderate,20,5.71,low
dairy products,280,corporate,350,room temperature,regular,winter,finger food,urban,low,20,5.71,low
meat,488,social gathering,498,refrigerated,regular,all seasons,finger food,rural,high,63,12.65,medium
fruits,220,social gathering,300,room temperature,regular,winter,finger food,rural,low,15,5.0,low
fruits,320,social gathering,400,refrigerated,regular,all seasons,buffet,suburban,high,45,11.25,medium
meat,320,corporate,400,refrigerated,regular,all seasons,finger food,suburban,moderate,25,6.25,low
dairy products,207,birthday,280,room temperature,regular,summer,finger food,rural,high,20,7.14,low
fruits,280,wedding,350,room temperature,regular,all seasons,finger food,rural,moderate,20,5.71,low
baked goods,300,corporate,400,room temperature,regular,winter,sit-down dinner,urban,low,20,5.0,low
baked goods,310,corporate,350,room temperature,regular,winter,finger food,suburban,high,35,10.0,medium
fruits,400,social gathering,500,refrigerated,regular,summer,sit-down dinner,suburban,high,45,9.0,low
fruits,400,birthday,500,room temperature,regular,all seasons,sit-down dinner,suburban,low,25,5.0,low
fruits,491,social gathering,497,room temperature,regular,summer,finger food,urban,high,32,6.44,low
baked goods,220,wedding,300,room temperature,regular,summer,finger food,rural,moderate,15,5.0,low
vegetables,320,corporate,400,refrigerated,occasional,winter,sit-down dinner,urban,high,35,8.75,low
vegetables,350,corporate,450,refrigerated,regular,winter,sit-down dinner,urban,moderate,25,5.56,low
baked goods,400,wedding,500,room temperature,regular,summer,sit-down dinner,suburban,high,50,10.0,medium
baked goods,320,wedding,400,room temperature,regular,summer,finger food,suburban,moderate,25,6.25,low
dairy products,300,corporate,400,room temperature,regular,all seasons,buffet,suburban,low,20,5.0,low
baked goods,250,wedding,350,room temperature,regular,summer,sit-down dinner,suburban,high,40,11.43,medium
baked goods,280,wedding,350,room temperature,regular,all seasons,sit-down dinner,urban,low,25,7.14,low
dairy products,320,corporate,400,room temperature,regular,all seasons,buffet,urban,high,45,11.25,medium
meat,250,corporate,350,refrigerated,occasional,winter,sit-down dinner,suburban,moderate,20,5.71,low
vegetables,400,corporate,500,refrigerated,occasional,summer,sit-down dinner,suburban,low,25,5.0,low
meat,300,social gathering,400,room temperature,regular,winter,sit-down dinner,suburban,high,35,8.75,low
baked goods,250,corporate,350,room temperature,regular,all seasons,finger food,suburban,high,30,8.57,low
fruits,320,social gathering,400,room temperature,regular,summer,finger food,suburban,moderate,25,6.25,low
fruits,220,social gathering,300,room temperature,regular,summer,finger food,suburban,moderate,15,5.0,low
fruits,280,social gathering,350,room temperature,regular,winter,finger food,suburban,moderate,20,5.71,low
dairy products,400,birthday,500,room temperature,regular,summer,sit-down dinner,suburban,high,45,9.0,low
baked goods,350,wedding,450,room temperature,regular,summer,sit-down dinner,suburban,moderate,30,6.67,low
baked goods,400,social gathering,500,room temperature,regular,winter,finger food,suburban,high,40,8.0,low
baked goods,250,social gathering,350,room temperature,regular,winter,sit-down dinner,urban,high,40,11.43,medium
fruits,400,social gathering,500,room temperature,regular,all seasons,sit-down dinner,urban,high,50,10.0,medium
baked goods,310,social gathering,350,room temperature,regular,all seasons,finger food,rural,high,35,10.0,medium
baked goods,350,corporate,450,room temperature,regular,all seasons,sit-down dinner,suburban,high,45,10.0,medium
baked goods,320,corporate,400,room temperature,regular,all seasons,sit-down dinner,suburban,high,40,10.0,medium
baked goods,220,wedding,300,room temperature,regular,winter,finger food,suburban,moderate,15,5.0,low
dairy products,280,birthday,350,room temperature,regular,all seasons,finger food,rural,low,20,5.71,low
dairy products,250,birthday,350,room temperature,regular,all seasons,buffet,rural,moderate,20,5.71,low
dairy products,250,wedding,350,room temperature,regular,all seasons,finger food,urban,high,30,8.57,low
baked goods,220,wedding,300,room temperature,regular,all seasons,finger food,rural,moderate,15,5.0,low
baked goods,300,social gathering,400,room temperature,occasional,all seasons,buffet,suburban,low,20,5.0,low
dairy products,350,birthday,450,room temperature,regular,winter,sit-down dinner,suburban,moderate,25,5.56,low
dairy products,342,social gathering,405,room temperature,regular,summer,finger food,rural,moderate,29,7.16,low
baked goods,380,social gathering,500,room temperature,regular,summer,sit-down dinner,suburban,high,35,7.0,low
baked goods,400,wedding,500,room temperature,regular,all seasons,sit-down dinner,urban,high,50,10.0,medium
baked goods,400,corporate,500,room temperature,regular,winter,sit-down dinner,suburban,high,40,8.0,low
dairy products,400,wedding,500,room temperature,occasional,winter,sit-down dinner,urban,high,40,8.0,low
dairy products,320,wedding,400,room temperature,regular,winter,sit-down dinner,suburban,high,35,8.75,low
dairy products,400,social gathering,500,room temperature,regular,summer,sit-down dinner,urban,high,40,8.0,low
dairy products,320,social gathering,400,room temperature,regular,winter,sit-down dinner,rural,high,35,8.75,low
baked goods,300,social gathering,400,room temperature,regular,all seasons,sit-down dinner,suburban,low,20,5.0,low
dairy products,220,social gathering,300,room temperature,regular,all seasons,finger food,rural,moderate,15,5.0,low
baked goods,400,wedding,500,room temperature,occasional,winter,sit-down dinner,suburban,high,40,8.0,low
vegetables,350,wedding,450,room temperature,regular,winter,sit-down dinner,suburban,moderate,25,5.56,low
vegetables,429,social gathering,496,refrigerated,regular,winter,sit-down dinner,suburban,low,42,8.47,low
baked goods,380,social gathering,400,room temperature,regular,winter,finger food,rural,moderate,25,6.25,low
baked goods,250,birthday,350,room temperature,regular,all seasons,sit-down dinner,suburban,high,40,11.43,medium
meat,250,social gathering,350,room temperature,regular,winter,sit-down dinner,suburban,moderate,25,7.14,low
dairy products,250,corporate,350,room temperature,regular,all seasons,finger food,urban,moderate,20,5.71,low
baked goods,300,social gathering,400,room temperature,regular,summer,sit-down dinner,suburban,low,20,5.0,low
dairy products,320,social gathering,480,room temperature,regular,all seasons,buffet,suburban,high,40,8.33,low
dairy products,380,social gathering,400,room temperature,regular,winter,finger food,urban,moderate,25,6.25,low
baked goods,320,social gathering,400,room temperature,regular,summer,sit-down dinner,suburban,high,40,10.0,medium
dairy products,300,social gathering,400,room temperature,regular,summer,finger food,suburban,moderate,25,6.25,low
dairy products,397,social gathering,482,room temperature,regular,winter,sit-down dinner,urban,moderate,31,6.43,low
baked goods,350,birthday,450,room temperature,occasional,all seasons,sit-down dinner,suburban,moderate,25,5.56,low
meat,488,wedding,498,refrigerated,regular,winter,finger food,rural,high,63,12.65,medium
meat,320,corporate,400,refrigerated,regular,summer,buffet,urban,moderate,25,6.25,low
meat,302,birthday,371,room temperature,regular,summer,buffet,suburban,low,27,7.28,low
meat,300,wedding,450,refrigerated,regular,winter,finger food,suburban,high,35,7.78,low
meat,350,wedding,450,refrigerated,regular,summer,sit-down dinner,urban,high,40,8.89,low
vegetables,280,wedding,350,refrigerated,regular,summer,finger food,urban,low,20,5.71,low
meat,300,wedding,450,refrigerated,regular,all seasons,finger food,rural,high,35,7.78,low
fruits,320,birthday,480,room temperature,regular,summer,buffet,suburban,high,40,8.33,low
fruits,350,birthday,450,refrigerated,regular,winter,finger food,suburban,high,30,6.67,low
meat,300,birthday,400,room temperature,regular,winter,finger food,suburban,low,20,5.0,low
meat,350,corporate,450,refrigerated,occasional,summer,finger food,suburban,high,30,6.67,low
baked goods,367,birthday,420,room temperature,regular,winter,buffet,suburban,low,40,9.52,low
meat,300,wedding,400,refrigerated,regular,all seasons,finger food,rural,moderate,25,6.25,low
meat,300,wedding,400,refrigerated,occasional,winter,sit-down dinner,suburban,low,20,5.0,low
fruits,280,birthday,350,room temperature,regular,winter,sit-down dinner,rural,low,25,7.14,low
fruits,320,corporate,480,room temperature,regular,all seasons,buffet,suburban,high,40,8.33,low
baked goods,320,wedding,400,room temperature,regular,all seasons,buffet,rural,high,35,8.75,low
meat,250,birthday,400,room temperature,regular,summer,sit-down dinner,suburban,low,25,6.25,low
vegetables,207,birthday,280,refrigerated,regular,all seasons,finger food,rural,high,20,7.14,low
meat,250,social gathering,350,refrigerated,regular,summer,finger food,suburban,high,35,10.0,medium
meat,250,corporate,350,room temperature,occasional,winter,finger food,suburban,high,35,10.0,medium
fruits,350,birthday,450,refrigerated,occasional,summer,sit-down dinner,suburban,high,45,10.0,medium
fruits,438,wedding,493,refrigerated,regular,winter,sit-down dinner,suburban,moderate,35,7.1,low
meat,310,social gathering,350,room temperature,regular,winter,finger food,rural,high,35,10.0,medium
baked goods,320,wedding,400,room temperature,regular,summer,finger food,rural,moderate,25,6.25,low
fruits,400,corporate,500,room temperature,regular,winter,sit-down dinner,suburban,high,50,10.0,medium
meat,453,social gathering,484,refrigerated,regular,summer,sit-down dinner,suburban,high,54,11.16,medium
baked goods,350,birthday,450,room temperature,regular,summer,sit-down dinner,urban,high,40,8.89,low
baked goods,400,corporate,500,room temperature,regular,winter,sit-down dinner,rural,high,45,9.0,low
meat,400,corporate,500,refrigerated,occasional,all seasons,sit-down dinner,suburban,high,50,10.0,medium
dairy products,300,birthday,400,room temperature,regular,all seasons,buffet,suburban,high,30,7.5,low
dairy products,434,birthday,495,room temperature,regular,summer,sit-down dinner,urban,low,36,7.27,low
fruits,280,birthday,350,room temperature,regular,all seasons,sit-down dinner,suburban,low,25,7.14,low
baked goods,400,social gathering,450,room temperature,regular,summer,buffet,urban,moderate,30,6.67,low
baked goods,400,wedding,500,room temperature,regular,all seasons,sit-down dinner,urban,low,25,5.0,low
meat,350,wedding,450,refrigerated,occasional,all seasons,sit-down dinner,suburban,moderate,25,5.56,low
fruits,453,birthday,484,room temperature,regular,all seasons,sit-down dinner,suburban,high,54,11.16,medium
dairy products,453,corporate,484,room temperature,regular,winter,sit-down dinner,urban,high,54,11.16,medium
dairy products,240,wedding,450,room temperature,regular,summer,sit-down dinner,suburban,low,20,4.44,low
dairy products,350,wedding,450,room temperature,regular,winter,sit-down dinner,suburban,high,35,7.78,low
dairy products,300,birthday,400,room temperature,regular,winter,finger food,suburban,moderate,25,6.25,low
meat,367,birthday,420,room temperature,regular,summer,buffet,urban,low,40,9.52,low
meat,220,wedding,300,refrigerated,regular,summer,finger food,urban,low,15,5.0,low
fruits,280,wedding,350,refrigerated,regular,winter,finger food,urban,low,20,5.71,low
fruits,491,birthday,497,refrigerated,regular,winter,finger food,urban,high,32,6.44,low
baked goods,434,wedding,495,room temperature,regular,all seasons,sit-down dinner,suburban,low,36,7.27,low
vegetables,230,corporate,500,refrigerated,occasional,summer,sit-down dinner,suburban,moderate,30,6.0,low
baked goods,250,birthday,350,room temperature,regular,winter,sit-down dinner,suburban,moderate,25,7.14,low
dairy products,300,corporate,400,room temperature,regular,summer,finger food,suburban,moderate,25,6.25,low
baked goods,350,wedding,450,room temperature,regular,all seasons,sit-down dinner,suburban,high,45,10.0,medium
dairy products,320,wedding,400,room temperature,regular,all seasons,finger food,rural,moderate,25,6.25,low
dairy products,310,social gathering,350,room temperature,regular,winter,finger food,urban,high,35,10.0,medium
